-,-,-
-587, 50, 775
-587, 50, 775
-672, 147, 906
-584, 139, 760
-472, 220, 735
-480, 183, 826
-627, 16, 832
-859, 5, 976
-859, 5, 976
-961, -2, 1043
-1042, -28, 1016
-1133, -53, 933
-1270, -30, 1202
-1387, 17, 1527
-1333, 51, 1440
-993, 138, 1242
-878, 238, 1371
-881, 295, 1461
-706, 360, 1437
-706, 360, 1437
-556, 436, 1408
-494, 433, 1456
-341, 362, 1362
-193, 304, 1118
-121, 238, 817
-43, 137, 577
101, 46, 412
115, 4, 311
115, 4, 311
78, -27, 269
69, -107, 242
82, -134, 173
82, -134, 173
66, -137, 33
49, -172, -53
-15, -197, -213
-108, -208, -298
-280, -265, -266
-482, -306, -189
-695, -285, -115
-868, -255, -66
-908, -247, 8
-908, -247, 8
-945, -256, 63
-1061, -323, 39
-1310, -343, 315
-1438, -158, 335
-1501, -397, 573
-1841, -387, 1346
-1998, -375, 1126
-1998, -259, 1593
-1998, -218, 1525
-1774, -70, 1316
-1443, 47, 1224
-1425, 180, 1816
-1304, 211, 1822
-1050, 174, 1683
-825, 193, 1594
-700, 180, 1547
-480, 212, 1567
-226, 141, 1613
6, -56, 1466
119, -105, 1038
119, -105, 1038
187, -112, 650
241, -168, 398
300, -239, 325
337, -234, 274
253, -218, -29
130, -210, -332
60, -163, -391
70, -156, -378
70, -156, -378
27, -228, -330
-232, -216, -266
-441, -189, -144
-567, -126, -119
-540, -68, -169
-599, -87, -124
-909, -90, 111
-1238, -142, 329
-1358, -253, 211
-1529, -360, 269
-1879, -445, 180
-1998, -367, 1061
-1998, -364, 1360
-1998, -604, 1670
-1998, -594, 1546
-1919, -384, 1218
-1499, -69, 1279
-1170, 142, 1570
-999, 15, 1519
-919, -39, 1492
-790, -7, 1454
-546, 41, 1562
-312, 37, 1623
-312, 37, 1623
-72, -4, 1448
110, -94, 1047
149, -142, 587
111, -184, 435
109, -275, 534
227, -223, 420
227, -223, 420
308, -131, 88
121, -130, -181
32, -125, -317
-32, -138, -337
-188, -157, -430
-292, -178, -387
-419, -187, -373
-573, -219, -351
-774, -260, -223
-953, -261, -84
-1165, -256, 6
-1393, -283, 64
-1498, -297, 132
-1719, -345, 211
-1809, -52, 858
-1809, -52, 858
-1998, -358, 394
-1998, -612, 1174
-1998, -372, 1597
-1998, -343, 1415
-1877, -270, 1352
-999, -127, 1232
-767, 93, 1632
-767, 93, 1632
-854, 48, 1580
-675, 85, 1571
-543, 56, 1489
-473, -31, 1440
-334, -113, 1193
-183, -109, 717
-54, -121, 486
-10, -216, 571
-10, -216, 571
24, -239, 445
57, -211, 183
70, -165, -55
45, -141, -77
